,Well_ID,X,Y,earliest,gamma_mean,mean_perm,cumulative_3y,is_before_cutoff,above_line
27,28,50.0,180.0,2019-08-01,26.908508098421056,1548.010900945,2324398.25,False,0
28,29,67.0,62.0,2019-08-01,29.4184648455,1083.51534051,1757344.5,False,0
29,30,39.0,139.0,2019-08-01,32.13906083111112,1004.4037227095238,1647695.125,False,0
30,31,78.0,83.0,2019-12-01,41.99241887684211,840.696521364,1381626.375,False,0
31,32,45.0,158.0,2019-12-01,30.198623790000003,1235.7660582328572,1924713.375,False,0
32,33,56.0,51.0,2019-12-01,27.344215952105262,1247.692527952381,2051405.75,False,0
33,34,22.0,121.0,2019-12-01,35.396543667500005,766.2698155904761,1372193.5,False,0
34,35,65.0,89.0,2019-12-01,34.065507435555546,767.156663535,1253594.375,False,0
35,36,83.0,173.0,2019-12-01,47.766879957368424,1020.7090543600001,1803507.75,False,0
36,37,48.0,35.0,2019-12-01,31.3675659215,1607.7876268999999,2590956.75,False,0
37,38,72.0,148.0,2019-12-01,25.267965720526316,1167.8822245850001,1764183.25,False,0
38,39,34.0,64.0,2019-12-01,33.24948659350001,826.9465678263159,1624648.375,False,0
39,40,60.0,185.0,2019-12-01,25.529425650555556,1543.734243205,2078667.625,False,0
40,41,76.0,110.0,2019-12-01,39.1674015165,867.2183151473159,1510016.5,False,0
41,42,27.0,154.0,2019-12-01,29.263143030000002,1173.04868119,1945714.5,False,0
42,43,54.0,40.0,2019-12-01,29.9279293795,1559.089978331579,2253228.5,False,0
43,44,79.0,168.0,2019-12-01,42.6070793768421,1061.3455342185002,1831133.75,False,0
44,45,42.0,96.0,2019-12-01,30.10883763549999,692.858519555,1317960.375,False,0
45,46,69.0,131.0,2019-12-01,26.893856059500003,1010.6642667000001,1791903.5,False,0
46,47,32.0,181.0,2019-12-01,27.977755854444442,1519.79794147,2432296.5,False,0
47,48,66.0,72.0,2019-12-01,31.28007346190476,913.7532882857141,1552244.0,False,0
48,49,175.0,27.0,2019-01-01,57.06715736850001,501.3437102635556,1530575.625,True,1
49,50,192.0,145.0,2019-01-01,63.51720446944444,428.66332799626315,1447172.25,True,1
50,51,181.0,86.0,2019-01-01,37.89651765894737,452.66112478638104,1483777.5,True,1
51,52,197.0,190.0,2019-04-01,70.4246164105,480.3624068816316,1620758.5,True,1
52,53,170.0,62.0,2019-04-01,64.362102805,254.26382014085715,895809.8125,True,1
53,54,188.0,120.0,2019-04-01,45.8641365045,495.5358335963683,1702785.625,True,1
54,55,100.0,77.0,2019-01-01,70.68504065900001,373.1116171656,1268611.75,True,1
55,56,131.0,165.0,2019-01-01,60.19601310095238,480.83858515523815,1599250.25,True,1
56,57,117.0,103.0,2019-01-01,76.86493275380953,143.25297985204998,538031.375,True,1
57,58,148.0,136.0,2019-01-01,59.40182672526316,332.1534211595,1105647.0,True,1
58,59,95.0,68.0,2019-01-01,67.192319873,548.1481613757368,1778056.25,True,1
59,60,141.0,157.0,2019-01-01,61.509346035882345,424.583040566,1407166.125,True,1
60,61,124.0,120.0,2019-01-01,70.82271923350001,195.06689434623812,726965.3125,True,1
61,62,109.0,91.0,2019-04-01,74.30540641555557,140.27223751715,574181.9375,True,1
62,63,154.0,178.0,2019-04-01,59.16614480736841,435.79209875761904,1490047.0,True,1
63,64,106.0,140.0,2019-04-01,59.047641657368416,323.5744117958572,1163004.625,True,1
64,65,137.0,83.0,2019-04-01,72.18537812,200.39356773475,739699.375,True,1
65,66,119.0,171.0,2019-04-01,54.923247787499996,508.5098442595,1697599.125,True,1
66,67,97.0,114.0,2019-04-01,73.12271062761904,413.24123097784997,1402635.375,True,1
67,68,145.0,97.0,2019-04-01,68.57538925421053,224.50882768345,852492.625,True,1
68,69,112.0,62.0,2019-12-01,67.90850354444444,305.21516983845004,643688.5625,False,0
69,70,129.0,150.0,2019-12-01,59.871335367368424,373.5821851547619,720200.875,False,0
70,71,151.0,166.0,2019-12-01,58.07321997285714,429.65725119142854,812823.0,False,0
